acc,size
0.898,2
0.6,4
0.703,6
0.746,8
0.748,10
0.793,12
0.805,14
0.842,16
0.743,18
0.78,20
0.886,22
0.914,24
0.89,26
0.907,28
0.885,30
0.939,32
0.957,34
0.954,36
0.951,38
0.941,40
0.935,42
0.94,44
0.975,46
0.945,48
0.952,50
0.953,52
0.982,54
0.968,56
0.959,58
0.978,60
0.967,62
0.968,64
0.955,66
0.954,68
0.97,70
0.983,72
0.976,74
0.984,76
0.979,78
