epoch,MSE
0,1.3228602528572083
1,0.8199986100196838
2,0.44469836354255676
3,0.38860616087913513
4,0.3463950455188751
5,0.314421147108078
6,0.29008153080940247
7,0.27146947383880615
8,0.25717028975486755
9,0.24612602591514587
10,0.23754256963729858
11,0.23082216084003448
12,0.22551412880420685
13,0.2212778925895691
14,0.21785621345043182
15,0.21505412459373474
16,0.21272419393062592
17,0.21075400710105896
18,0.20905888080596924
19,0.20757396519184113
20,0.2062501311302185
21,0.2050500065088272
22,0.2039450854063034
23,0.20291347801685333
24,0.2019386738538742
25,0.20100797712802887
26,0.20011167228221893
27,0.19924239814281464
28,0.19839443266391754
29,0.19756343960762024
30,0.1967460662126541
31,0.19593974947929382
32,0.1951424777507782
33,0.19435277581214905
34,0.19356948137283325
35,0.1927916407585144
36,0.1920185536146164
37,0.19124966859817505
38,0.19048458337783813
39,0.189722940325737
40,0.18896451592445374
41,0.18820904195308685
42,0.18745635449886322
43,0.18670636415481567
44,0.18595893681049347
45,0.18521396815776825
46,0.18447139859199524
47,0.18373115360736847
48,0.18299323320388794
49,0.18225745856761932
50,0.18152394890785217
51,0.18079255521297455
52,0.18006329238414764
53,0.17933611571788788
54,0.17861099541187286
55,0.1778879165649414
56,0.17716681957244873
57,0.176447793841362
58,0.1757306605577469
59,0.17501549422740936
60,0.17430229485034943
61,0.17359094321727753
62,0.17288154363632202
63,0.17217396199703217
64,0.17146830260753632
65,0.17076444625854492
66,0.17006245255470276
67,0.16936221718788147
68,0.16866382956504822
69,0.16796723008155823
70,0.16727237403392792
71,0.16657930612564087
72,0.1658879518508911
73,0.16519837081432343
74,0.16451050341129303
75,0.16382434964179993
76,0.16313989460468292
77,0.16245712339878082
78,0.1617760807275772
79,0.1610966920852661
80,0.16041897237300873
81,0.15974292159080505
82,0.1590685248374939
83,0.15839578211307526
84,0.15772466361522675
85,0.15705518424510956
86,0.1563873142004013
87,0.15572106838226318
88,0.155056431889534
89,0.15439341962337494
90,0.153732031583786
91,0.15307220816612244
92,0.1524139940738678
93,0.1517573595046997
94,0.15110233426094055
95,0.15044888854026794
96,0.14979702234268188
97,0.14914676547050476
98,0.1484980285167694
99,0.147850900888443
