epoch,acc
0,0.099
1,0.307
2,0.433
3,0.486
4,0.508
5,0.507
6,0.538
7,0.584
8,0.596
9,0.613
10,0.622
11,0.602
12,0.634
13,0.637
14,0.644
15,0.639
16,0.672
17,0.656
18,0.655
19,0.667
20,0.67
