epoch,acc
0,0.104
1,0.354
2,0.458
3,0.48
4,0.532
5,0.548
6,0.593
7,0.57
8,0.572
9,0.572
10,0.548
11,0.586
12,0.584
13,0.602
14,0.604
15,0.598
16,0.601
17,0.605
18,0.616
19,0.618
20,0.632
