epoch,acc
0,0.08
1,0.43
2,0.478
3,0.534
4,0.531
5,0.544
6,0.532
7,0.577
8,0.554
9,0.58
10,0.579
11,0.579
12,0.569
13,0.592
14,0.619
15,0.61
16,0.606
17,0.609
18,0.601
19,0.597
20,0.608
