epoch,acc
0,0.122
1,0.345
2,0.416
3,0.481
4,0.495
5,0.502
6,0.504
7,0.537
8,0.573
9,0.577
10,0.557
11,0.584
12,0.568
13,0.619
14,0.607
15,0.609
16,0.611
17,0.605
18,0.614
19,0.626
20,0.606
