epoch,acc
0,0.093
1,0.472
2,0.527
3,0.613
4,0.601
5,0.636
6,0.651
7,0.666
8,0.662
9,0.682
10,0.686
11,0.716
12,0.684
13,0.713
14,0.691
15,0.694
16,0.718
17,0.722
18,0.697
19,0.7
20,0.708
